CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,ProcessedText,Labels
Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",0,0,0,0,0,0,0,0,0,0,0,0,people step case not people situation    lump mess matter hand make kind protest selfish rational thought investigation    guy video heavily emotional hype want hear get hear press    reasonable discussion    kudo smerconish keep level time let masri fool    dare tear city protest dishonor entire incident hate    way police brutality epidemic    wish stop pretend like know exactly go s measurable people honestly witness incident clue way issue swing    grand jury informed trust majority rule right course action let    thank   police officer america   actually serve   protect bit jerk pull respect job know people go pout hold accountable action    people hate police need officer emergency,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,1,1,0,0,0,0,0,0,0,0,0,0,law enforcement train shoot apprehend   train shoot kill   thank wilson kill punk bitch,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",1,1,0,0,1,0,0,0,0,0,0,0,"
 not reckon black life matter banner hold white cunt   kinda patronizing ironically racist come somethin well white folk self pride ooo look m nice black people race actually world pussyfootin fear racist fuckin daft man","[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Ugg7Gd006w1MPngCoAEC,04kJtp6pVXI,"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",0,0,0,0,0,0,0,0,0,0,0,0,large number people like police officer call criminal reason police officer fact criminal like police officer testament good work police officer protect public child family danger hessitate help police time people stop complain start police respect hard work dedication require life line serve public,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ugg8FfTbbNF8IngCoAEC,04kJtp6pVXI,"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",0,0,0,0,0,0,0,0,0,0,0,0,arab dude absolutely right shoot   extra time shoot s attack stop attack shoot twice s attack time shoot kill opinion  ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ugg9a6FtoXdxmXgCoAEC,04kJtp6pVXI,here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,1,0,0,0,0,1,0,0,0,0,1,0,people facebook   httpswwwfacebookcombassemmasri tie isis terrorist group muslim extremist  ,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Ugga9KzkNDGvlXgCoAEC,04kJtp6pVXI,"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",1,0,0,0,0,1,1,0,0,0,0,0,"check tube post black man go epic rant ferguson rioter 

 message deliver childish cartoonish emotion african americans get","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
UggBlIXoph7p-3gCoAEC,04kJtp6pVXI,I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,1,1,0,0,1,1,1,0,0,0,0,0,love pussy staten island spit cop love happen mike brown strong arm thug people burn ferguson eric garnier wrong choke death protest mafia control staten island burn car,"[1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
UggD1aYSn7KOR3gCoAEC,04kJtp6pVXI,I agree with the protestor.,0,0,0,0,0,0,0,0,0,0,0,0,agree protestor,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
UggGm8a1fu8brngCoAEC,04kJtp6pVXI,mike browns father was made to say that boooshit,1,1,0,0,1,0,0,0,0,0,0,0,mike browns father boooshit,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
UggguNlx1Uu89HgCoAEC,04kJtp6pVXI,the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,1,1,0,0,1,0,0,0,0,0,0,0,guy right point not judge speak ability judge messege racist fuck suck dick like medium focus thing not matter cnn shit,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
UggHKcxZ-FvsJ3gCoAEC,04kJtp6pVXI,"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",0,0,0,0,0,0,0,0,0,0,0,0,moral story not reach cops gun probably gunna shoot white black,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
UggLbJp619j8BHgCoAEC,04kJtp6pVXI,Masri is about as close as you can get to ISIS in America.  ,1,1,0,0,0,0,0,0,0,0,0,0,masri close isis america  ,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
UggMY2Oggks5LngCoAEC,04kJtp6pVXI,We all know with the chimpers there is no compassion in their mud pumping hearts. ,1,0,0,0,0,1,1,0,0,0,0,0,know chimper compassion mud pump heart,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
